nr	kapitel	regelcheck	woerter	tokens_schreiben	tokens_qs
028	028-wassertriel	gelb	819	35453	27570
029	029-hammerkopf	gelb	802	35453	27570
030	030-klippschliefer	gelb	804	35453	27570
037	037-ostafrikanischer-bleistiftwacholder	gelb	910	33699	23391
038	038-seideneiche	gelb	942	33699	23391
039	039-aufrechter-feigenkaktus	gelb	947	33699	23391
031	031-kapotter	gelb	898	41984	28663
032	032-zebramanguste	gelb	894	41984	28663
033	033-nilwaran	gelb	897	41984	28663
034	034-marmor-riedfrosch	gelb	969	34625	35162
035	035-ostafrikanische-siedleragame	gelb	909	34625	35162
036	036-floetenakazie	gelb	918	34625	35162
046	046-afrikanischer-wildhund	gelb	919	42700	31382
047	047-grevyzebra	gelb	934	42700	31382
048	048-streifenhyaene	gelb	907	42700	31382
040	040-kathstrauch	gelb	907	62371	27397
041	041-sekundiflora-aloe	gelb	897	62371	27397
042	042-weissbrauenkuckuck	gelb	909	62371	27397
049	049-erdferkel	gelb	908	34270	21333
050	050-oestlicher-bongo	gruen	900	34270	21333
051	051-honigdachs	gelb	901	34270	21333
043	043-grosser-honiganzeiger	gruen	965	34884	44928
044	044-gaukler	gelb	903	34884	44928
045	045-afrikanische-binsenralle	gruen	858	34884	44928
052	052-karakal	gelb	890	40164	25768
053	053-mount-kenya-seitenstreifenchamaeleon	gruen	902	40164	25768
054	054-kurzdorn-akazien-ameise	gelb	900	40164	25768
058	058-madagaskar-immergruen	gelb	926	35785	24119
059	059-glanzkraehe	gelb	929	35785	24119
060	060-reiherlaeufer	gelb	915	35785	24119
055	055-tamarindenbaum	gelb	920	32152	41167
056	056-iroko	gelb	878	32152	41167
057	057-sisalagave	gelb	906	32152	41167
067	067-dum-palme	gruen	899	41762	25675
068	068-rotgras	gelb	903	41762	25675
069	069-rotschnabel-madenhacker	gruen	806	41762	25675
061	061-diademmeerkatze	gelb	888	51367	37023
062	062-grossblaettrige-mangrove	gelb	939	51367	37023
063	063-riffel-landeinsiedlerkrebs	gelb	979	51367	37023
070	070-suedlicher-hornrabe	gruen	980	38084	24008
071	071-giraffengazelle	gruen	910	38084	24008
072	072-bueschelohr-oryx	gruen	927	38084	24008
064	064-ostafrikanische-winkerkrabbe	gruen	891	59283	38333
065	065-affenbrotbaum	gelb	920	59283	38333
066	066-zahnbuerstenbaum	gelb	901	59283	38333
073	073-kleiner-kudu	gelb	906	37935	26049
074	074-kirk-dikdik	gelb	910	37935	26049
075	075-hunter-antilope	gelb	896	37935	26049
076	076-suedliche-zwergmanguste	gelb	976	55434	33055
077	077-spaltenschildkroete	gelb	904	55434	33055
078	078-ashe-speikobra	gelb	913	55434	33055
079	079-dungkaefer	gelb	906	43385	25790
080	080-ostafrikanische-honigbiene	gelb	908	43385	25790
081	081-gabelracke	gelb	904	43385	25790
082	082-milchuhu	gruen	955	40276	26593
083	083-perlkauz	gelb	890	40276	26593
084	084-dreifarben-glanzstar	gelb	876	40276	26593
085	085-goliathreiher	gelb	961	38526	37824
086	086-marabu	gelb	944	38526	37824
087	087-sattelstorch	gelb	940	38526	37824
088	088-graufischer	gelb	908	49904	24702
089	089-palmengeier	gelb	895	49904	24702
090	090-dorfweber	gelb	899	49904	24702
091	091-von-der-decken-toko	gelb	883	39752	35055
092	092-afrikanischer-scherenschnabel	gruen	889	39752	35055
093	093-riesentrappe	gelb	852	39752	35055
094	094-schlammspringer	gelb	901	49724	26621
095	095-gruene-meeresschildkroete	gelb	900	49724	26621
096	096-diademseeigel	gelb	889	49724	26621
