001	Heilige Würgefeige	Nairobi
002	Ostafrikanisches Gelbholz	Nairobi
003	Uganda-Pfefferrindenbaum	Nairobi
004	Afrikanische Stinkkirsche	Nairobi
005	Mexikanische Sonnenblume	Nairobi
006	Seidenturako	Nairobi
007	Sekretär	Nairobi
008	Jacksons Wida	Nairobi
009	Helmperlhuhn	Nairobi
010	Palmenflughund	Nairobi
011	Mantelaffe	Nairobi
012	Serval	Nairobi
013	Dreihornchamäleon	Nairobi
014	Boomslang	Nairobi
015	Treiberameise	Nairobi
016	Fieberbaum	Rift Valley
017	Kandelaber-Wolfsmilch	Rift Valley
018	Wüstendattel	Rift Valley
019	Papyrus	Rift Valley
020	Wasserhyazinthe	Rift Valley
021	Bleistiftstrauch	Rift Valley
022	Schreiseeadler	Rift Valley
023	Zwergflamingo	Rift Valley
024	Südafrika-Kronenkranich	Rift Valley
025	Blaustirn-Blatthühnchen	Rift Valley
026	Buntgoldschnepfe	Rift Valley
027	Nimmersatt	Rift Valley
028	Wassertriel	Rift Valley
029	Hammerkopf	Rift Valley
030	Klippschliefer	Rift Valley
031	Kapotter	Rift Valley
032	Zebramanguste	Rift Valley
033	Nilwaran	Rift Valley
034	Marmor-Riedfrosch	Rift Valley
035	Ostafrikanische Siedleragame	Rift Valley
036	Flötenakazie	Laikipia / Mt. Kenya
037	Ostafrikanischer Bleistiftwacholder	Laikipia / Mt. Kenya
038	Seideneiche	Laikipia / Mt. Kenya
039	Aufrechter Feigenkaktus	Laikipia / Mt. Kenya
040	Kathstrauch	Laikipia / Mt. Kenya
041	Sekundiflora-Aloe	Laikipia / Mt. Kenya
042	Weißbrauenkuckuck	Laikipia / Mt. Kenya
043	Großer Honiganzeiger	Laikipia / Mt. Kenya
044	Gaukler	Laikipia / Mt. Kenya
045	Afrikanische Binsenralle	Laikipia / Mt. Kenya
046	Afrikanischer Wildhund	Laikipia / Mt. Kenya
047	Grevyzebra	Laikipia / Mt. Kenya
048	Streifenhyäne	Laikipia / Mt. Kenya
049	Erdferkel	Laikipia / Mt. Kenya
050	Östlicher Bongo	Laikipia / Mt. Kenya
051	Honigdachs	Laikipia / Mt. Kenya
052	Karakal	Laikipia / Mt. Kenya
053	Mount-Kenya-Seitenstreifenchamäleon	Laikipia / Mt. Kenya
054	Kurzdorn-Akazien-Ameise	Laikipia / Mt. Kenya
055	Tamarindenbaum	Küste Mombasa
056	Iroko	Küste Mombasa
057	Sisalagave	Küste Mombasa
058	Madagaskar-Immergrün	Küste Mombasa
059	Glanzkrähe	Küste Mombasa
060	Reiherläufer	Küste Mombasa
061	Diademmeerkatze	Küste Mombasa
062	Großblättrige Mangrove	Küste Mombasa
063	Riffel-Landeinsiedlerkrebs	Küste Mombasa
064	Ostafrikanische Winkerkrabbe	Küste Mombasa
065	Affenbrotbaum	Tsavo / Amboseli
066	Zahnbürstenbaum	Tsavo / Amboseli
067	Dum-Palme	Tsavo / Amboseli
068	Rotgras	Tsavo / Amboseli
069	Rotschnabel-Madenhacker	Tsavo / Amboseli
070	Südlicher Hornrabe	Tsavo / Amboseli
071	Giraffengazelle	Tsavo / Amboseli
072	Büschelohr-Oryx	Tsavo / Amboseli
073	Kleiner Kudu	Tsavo / Amboseli
074	Kirk-Dikdik	Tsavo / Amboseli
075	Hunter-Antilope	Tsavo / Amboseli
076	Südliche Zwergmanguste	Tsavo / Amboseli
077	Spaltenschildkröte	Tsavo / Amboseli
078	Ashe-Speikobra	Tsavo / Amboseli
079	Dungkäfer	Tsavo / Amboseli
080	Ostafrikanische Honigbiene	Tsavo / Amboseli
081	Gabelracke	Laikipia / Mt. Kenya
082	Milchuhu	Laikipia / Mt. Kenya
083	Perlkauz	Tsavo / Amboseli
084	Dreifarben-Glanzstar	Laikipia / Mt. Kenya
085	Goliathreiher	Rift Valley
086	Marabu	Nairobi
087	Sattelstorch	Rift Valley
088	Graufischer	Rift Valley
089	Palmengeier	Küste Mombasa
090	Dorfweber	Nairobi
091	Von-der-Decken-Toko	Tsavo / Amboseli
092	Afrikanischer Scherenschnabel	Rift Valley
093	Riesentrappe	Tsavo / Amboseli
094	Schlammspringer	Küste Mombasa
095	Grüne Meeresschildkröte	Küste Mombasa
096	Diademseeigel	Küste Mombasa
097	Sichel-Seegras	Küste Mombasa
098	Pilzzüchtende Termite	Tsavo / Amboseli
099	Afrikanischer Riesentausendfüßler	Küste Mombasa
100	Schwarze Mamba	Tsavo / Amboseli
